from,to,distance_m,line
in out path_pt37,in out path_pt36,46.48183151402296,in out path
in out path_pt38,in out path_pt37,84.12879126539023,in out path
in out path_pt39,in out path_pt38,130.69681313340456,in out path
block a path_pt1,block a path_pt0,95.71457524245035,block a path
block a path_pt2,block a path_pt1,27.38240105280531,block a path
block a path_pt3,block a path_pt2,38.26783438517961,block a path
block a path_pt4,block a path_pt3,98.94388097731294,block a path
block b path_pt1,block b path_pt0,105.14884521788002,block b path
block b path_pt2,block b path_pt1,29.071719956174977,block b path
block b path_pt3,block b path_pt2,35.01135303007585,block b path
block b path_pt4,block b path_pt3,101.53733051112947,block b path
block b path_pt5,block b path_pt4,34.169073078552465,block b path
block b path_pt6,block b path_pt5,51.41202070315433,block b path
block b path_pt7,block b path_pt6,43.174631452648185,block b path
block b path_pt8,block b path_pt7,48.720796562514806,block b path
block b path_pt9,block b path_pt8,52.32017484420893,block b path
block b path_pt10,block b path_pt9,57.486437310757594,block b path
a to b connection_pt1,a to b connection_pt0,102.76351761811677,a to b connection
a to b connection_pt2,a to b connection_pt1,2.429714780017872,a to b connection
food court_pt1,food court_pt0,27.041110094073183,food court
path_pt1,path_pt0,104.81812628556959,path
path_pt2,path_pt1,75.11995246976443,path
path_pt1_1,path_pt0_1,106.61171190870421,path
path_pt1_2,path_pt0_2,89.7212377504537,path
path_pt2_1,path_pt1_2,56.101410735334,path
sports_pt1,sports_pt0,209.27728005142777,sports
sports_pt2,sports_pt1,59.76561679589912,sports
sports_pt3,sports_pt2,61.510639808018745,sports
sports_pt4,sports_pt3,80.21119345627608,sports
sports_pt5,sports_pt4,43.591848465517,sports
sports_pt6,sports_pt5,26.308822054070856,sports
sports_pt7,sports_pt6,62.175604004382876,sports
Untitled path_pt1,Untitled path_pt0,45.97727648270586,Untitled path
path_pt1_3,path_pt0_3,50.623724354032,path
path_pt2_2,path_pt1_3,179.68232134913728,path
path_pt3,path_pt2_2,98.60258724653688,path
path_pt4,path_pt3,137.08666889251913,path
path_pt5,path_pt4,47.92307178649847,path
path_pt6,path_pt5,19.349296140232692,path
path_pt1_4,path_pt0_4,95.34226790638954,path
path_pt1_5,path_pt0_5,83.21940354903411,path
Untitled path_pt1_1,Untitled path_pt0_1,12.49920863663601,Untitled path
Untitled path_pt1_2,Untitled path_pt0_2,26.66945013608368,Untitled path
