team_name,squad_value_million_eur,avg_age,total_players,foreigners_count,avg_market_value_per_player,data_source,last_updated
Brazil,,,,,,transfermarkt,2025-11-08 02:53:17.059612
Argentina,,,,,,transfermarkt,2025-11-08 02:53:21.091917
