team_name,season,xg_for_total,xg_against_total,xg_for_per_match,xg_against_per_match,shots_total,shots_on_target,data_source,last_updated
Manchester_City,2024,0.0,0.0,0.0,0.0,0,0,understat,2025-11-08 02:53:05.964893
Liverpool,2024,0.0,0.0,0.0,0.0,0,0,understat,2025-11-08 02:53:09.332580
Arsenal,2024,0.0,0.0,0.0,0.0,0,0,understat,2025-11-08 02:53:13.004687
